SMILES,nRotB,XLogP,nAtomLAC,AMR,nHBDon,nAtomP,ALogp2,naAromAtom,nAtomLC,nAtom,nB,MLogP,nAromBond,ALogP,LipinskiFailures
InChI%3D1S%2FC8H8O%2Fc1-7%289%298-5-3-2-4-6-8%2Fh2-6H%2C1H3,1.0,1.24399995803833,2.0,40.5060997009277,,8.0,0.909925222396851,6.0,3.0,17.0,9.0,2.23000001907349,6.0,0.95389997959137,0.0
InChI%3D1S%2FC7H3I2NO%2Fc8-5-1-4%283-10%292-6%289%297%285%2911%2Fh1-2%2C11H,0.0,2.44899988174438,0.0,36.6556015014648,,9.0,5.83029317855835,6.0,2.0,14.0,11.0,1.78999996185303,6.0,2.41459989547729,0.0
InChI%3D1S%2FC6H5Cl2N%2Fc7-5-2-1-4%289%293-6%285%298%2Fh1-3H%2C9H2,0.0,1.47800004482269,0.0,,,7.0,,6.0,0.0,14.0,9.0,1.78999996185303,6.0,,0.0
InChI%3D1S%2FC6H6BrN%2Fc7-5-1-3-6%288%294-2-5%2Fh1-4H%2C8H2,2.0,,3.0,,,18.0,,6.0,3.0,39.0,27.0,3.10999989509583,6.0,,0.0
InChI%3D1S%2FC23H22O6%2Fc1-11%282%2916-8-14-15%2828-16%296-5-12-22%2824%2921-13-7-18%2825-3%2919%2826-4%299-17%2813%2927-10-20%2821%2929-23%2812%2914%2Fh5-7%2C9%2C16%2C20-21H%2C1%2C8%2C10H2%2C2-4H3,3.0,2.07599997520447,0.0,114.148902893066,,10.0,0.0192376896739006,12.0,2.0,51.0,33.0,3.32999992370605,12.0,0.152700006961823,0.0
InChI%3D1S%2FC6H15N3%2Fc7-1-4-9-5-2-8-3-6-9%2Fh8H%2C1-7H2,5.0,2.92400002479553,2.0,38.6932983398438,2.0,6.0,1.18265628814697,6.0,5.0,58.0,29.0,3.44000005722046,6.0,-1.08749997615814,0.0
InChI%3D1S%2FC6H6O2%2Fc7-5-3-1-2-4-6%285%298%2Fh1-4%2C7-8H,4.0,-0.156000003218651,2.0,34.1668014526367,,12.0,0.0153512097895145,6.0,4.0,36.0,20.0,2.00999999046326,6.0,-0.12389999628067,0.0
InChI%3D1S%2FC4H6O%2Fc1-2-3-4-5%2Fh1%2C5H%2C3-4H2,4.0,3.02600002288818,3.0,19.4927997589111,1.0,13.0,0.326955229043961,12.0,6.0,40.0,23.0,2.89000010490417,12.0,0.571799993515015,0.0
InChI%3D1S%2FC5Cl5N%2Fc6-1-2%287%294%289%2911-5%2810%293%281%298,0.0,3.21300005912781,0.0,51.2977981567383,,6.0,9.34463787078857,6.0,0.0,11.0,11.0,1.35000002384186,6.0,3.05690002441406,0.0
InChI%3D1S%2FN3.Na%2Fc1-3-2%3B%2Fq-1%3B%2B1,0.0,-1.67900002002716,0.0,,1.0,3.0,,0.0,3.0,6.0,2.0,1.01999998092651,0.0,,0.0
InChI%3D1S%2FC7H5FO%2Fc8-7-4-2-1-3-6%287%295-9%2Fh1-5H,1.0,0.757000029087067,0.0,36.157398223877,,8.0,0.855995059013367,6.0,2.0,14.0,9.0,2.00999999046326,6.0,0.92519998550415,0.0
InChI%3D1S%2FC12H10O%2Fc13-12-9-5-4-8-11%2812%2910-6-2-1-3-7-10%2Fh1-9%2C13H,1.0,2.57100009918213,0.0,61.0769004821777,,13.0,3.43175625801086,12.0,0.0,23.0,14.0,2.67000007629395,12.0,1.85249996185303,0.0
InChI%3D1S%2FC17H19NO3%2Fc19-17%2818-10-4-1-5-11-18%297-3-2-6-14-8-9-15-16%2812-14%2921-13-20-15%2Fh2-3%2C6-9%2C12H%2C1%2C4-5%2C10-11%2C13H2,4.0,2.51799988746643,5.0,82.0260009765625,,15.0,0.403479039669037,6.0,6.0,40.0,23.0,2.89000010490417,6.0,-0.635200023651123,0.0
InChI%3D1S%2FC8H7N%2Fc1-7-4-2-3-5-8%287%296-9%2Fh2-5H%2C1H3,0.0,3.09999990463257,0.0,11.7006998062134,,8.0,0.457922875881195,6.0,2.0,16.0,9.0,2.23000001907349,6.0,0.676699995994568,0.0
InChI%3D1S%2FC10H18O%2Fc1-9%282%297-4-5-10%289%2C3%298%2811%296-7%2Fh7-8%2C11H%2C4-6H2%2C1-3H3,0.0,2.73399996757507,0.0,44.2816009521484,1.0,0.0,0.889626264572144,0.0,0.0,29.0,12.0,2.45000004768372,0.0,0.943199992179871,0.0
InChI%3D1S%2FC15H26O%2Fc1-6-15%285%2C16%2912-8-11-14%284%2910-7-9-13%282%293%2Fh6%2C9%2C11%2C16H%2C1%2C7-8%2C10%2C12H2%2C2-5H3,7.0,4.28999996185303,12.0,73.6714019775391,1.0,2.0,13.7003622055054,0.0,16.0,42.0,15.0,3.0,0.0,3.7014000415802,0.0
InChI%3D1S%2FC4H6Cl2%2Fc1-2-4%286%293-5%2Fh2%2C4H%2C1%2C3H2,4.0,2.82299995422363,0.0,29.4885005950928,0.0,0.0,4.65394306182861,0.0,12.0,55.0,20.0,2.77999997138977,0.0,2.15729999542236,0.0
InChI%3D1S%2FC13H10O3%2Fc14-12-9-5-4-8-11%2812%2913%2815%2916-10-6-2-1-3-7-10%2Fh1-9%2C14H,3.0,4.57399988174438,0.0,8.85630035400391,,16.0,0.30404195189476,12.0,3.0,26.0,17.0,2.55999994277954,12.0,-0.551400005817413,1.0
InChI%3D1S%2FC8H9NO2%2Fc1-11-7-5-3-2-4-6%287%298%289%2910%2Fh2-5H%2C1H3%2C%28H2%2C9%2C10%29,2.0,1.2059999704361,0.0,44.855598449707,,10.0,0.393881767988205,6.0,2.0,20.0,11.0,2.00999999046326,6.0,0.627600014209747,0.0
InChI%3D1S%2FC6H10%2Fc1-3-5-6-4-2%2Fh3-6H%2C1-2H3,1.0,3.00399994850159,6.0,32.1021995544434,0.0,4.0,3.29277324676514,0.0,6.0,16.0,5.0,2.11999988555908,0.0,1.81459999084473,0.0
InChI%3D1S%2FC13H22N.ClH%2Fc1-4-14%285-2%2C6-3%2912-13-10-8-7-9-11-13%3B%2Fh7-11H%2C4-6%2C12H2%2C1-3H3%3B1H%2Fq%2B1%3B%2Fp-1,5.0,2.74499988555908,2.0,,,6.0,,6.0,8.0,37.0,14.0,2.67000007629395,6.0,,0.0
InChI%3D1S%2FC2Cl6%2Fc3-1%284%2C5%292%286%2C7%298,1.0,3.88199996948242,2.0,41.8779983520508,0.0,0.0,11.4000768661499,0.0,8.0,8.0,7.0,1.01999998092651,0.0,3.37639999389648,0.0
InChI%3D1S%2FC2H4Cl2%2Fc3-1-2-4%2Fh1-2H2,1.0,1.74000000953674,2.0,20.6555995941162,0.0,0.0,2.28553915023804,0.0,4.0,8.0,3.0,1.46000003814697,0.0,1.51180005073547,0.0
InChI%3D1S%2FC14H8O2%2Fc15-13-9-5-1-2-6-10%289%2914%2816%2912-8-4-3-7-11%2812%2913%2Fh1-8H,0.0,4.07399988174438,0.0,10.6920003890991,,16.0,0.278361767530441,12.0,0.0,24.0,18.0,2.77999997138977,12.0,-0.527599990367889,0.0
InChI%3D1S%2FC10H12N2O5%2Fc1-3-6%282%298-4-7%2811%2814%2915%295-9%2810%288%2913%2912%2816%2917%2Fh4-6%2C13H%2C3H2%2C1-2H3,0.0,1.21200001239777,0.0,67.7231979370117,,16.0,2.24041032791138,12.0,0.0,24.0,18.0,2.77999997138977,12.0,1.4967999458313,0.0
InChI%3D1S%2FC20H14O4%2Fc21-19%2823-15-9-3-1-4-10-15%2917-13-7-8-14-18%2817%2920%2822%2924-16-11-5-2-6-12-16%2Fh1-14H,6.0,2.73799991607666,0.0,,,24.0,,18.0,3.0,38.0,26.0,3.22000002861023,18.0,,0.0
InChI%3D1S%2FC9H11NO2.CH4O3S%2Fc1-2-12-9%2811%297-4-3-5-8%2810%296-7%3B1-5%282%2C3%294%2Fh3-6H%2C2%2C10H2%2C1H3%3B1H3%2C%28H%2C2%2C3%2C4%29,3.0,,2.0,,,10.0,0.0277222506701946,6.0,5.0,32.0,16.0,1.78999996185303,6.0,-0.166500002145767,
InChI%3D1S%2FC6H4Cl2%2Fc7-5-3-1-2-4-6%285%298%2Fh1-4H,0.0,1.97000002861023,0.0,40.3881988525391,0.0,6.0,4.58302450180054,6.0,0.0,12.0,8.0,1.89999997615814,6.0,2.14079999923706,0.0
InChI%3D1S%2FC2H3Cl2NO%2Fc3-1%284%292%285%296%2Fh1H%2C%28H2%2C5%2C6%29,1.0,0.816999971866608,0.0,74.8499984741211,2.0,16.0,0.514232397079468,12.0,0.0,34.0,23.0,2.55999994277954,12.0,-0.717100024223328,0.0
InChI%3D1S%2FC24H38O4%2Fc1-3-5-7-9-11-13-18-27-23%2825%2921-16-15-17-22%2820-21%2924%2826%2928-19-14-12-10-8-6-4-2%2Fh15-17%2C20H%2C3-14%2C18-19H2%2C1-2H3,18.0,7.98699998855591,8.0,97.2600021362305,,12.0,6.25099992752075,6.0,11.0,66.0,28.0,3.66000008583069,6.0,-2.50020003318787,2.0
InChI%3D1S%2FC9H14N.HI%2Fc1-10%282%2C3%299-7-5-4-6-8-9%3B%2Fh4-8H%2C1-3H3%3B1H%2Fq%2B1%3B%2Fp-1,1.0,1.817999958992,0.0,,,7.0,,6.0,4.0,25.0,10.0,2.23000001907349,6.0,,0.0
InChI%3D1S%2FC11H16O%2Fc1-4-11%282%2C3%299-5-7-10%2812%298-6-9%2Fh5-8%2C12H%2C4H2%2C1-3H3,2.0,3.28699994087219,4.0,55.3163986206055,,7.0,3.48120975494385,6.0,5.0,28.0,12.0,2.55999994277954,6.0,1.86580002307892,0.0
InChI%3D1S%2FC6H4N2%2Fc7-5-6-3-1-2-4-8-6%2Fh1-4H,0.0,-0.400000005960464,0.0,,,8.0,,6.0,2.0,12.0,8.0,1.89999997615814,6.0,-0.31810000538826,0.0
InChI%3D1S%2FC7H5Cl2NO%2Fc8-4-2-1-3-5%289%296%284%297%2810%2911%2Fh1-3H%2C%28H2%2C10%2C11%29,1.0,2.63100004196167,0.0,19.7075996398926,,9.0,1.97964894771576,6.0,3.0,16.0,11.0,1.78999996185303,6.0,1.40699994564056,0.0
InChI%3D1S%2FC8H5Cl3O%2Fc1-4%2812%295-2-3-6%289%298%2811%297%285%2910%2Fh2-3H%2C1H3,1.0,2.34200000762939,2.0,,,8.0,,6.0,3.0,17.0,12.0,1.89999997615814,6.0,,0.0
InChI%3D1S%2FC22H26O3%2Fc1-15%282%2910-19-20%2822%2819%2C3%294%2921%2823%2925-14-17-12-18%2824-13-17%2911-16-8-6-5-7-9-16%2Fh5-10%2C12-13%2C19-20H%2C11%2C14H2%2C1-4H3,7.0,4.75299978256226,3.0,,0.0,6.0,,6.0,4.0,55.0,27.0,3.54999995231628,6.0,0.627900004386902,0.0
InChI%3D1S%2FC8H7ClO2%2Fc1-11-8%2810%296-2-4-7%289%295-3-6%2Fh2-5H%2C1H3,2.0,1.24699997901917,0.0,,,9.0,,6.0,4.0,18.0,11.0,2.00999999046326,6.0,,0.0
InChI%3D1S%2FC9H9Cl2NO%2Fc1-2-9%2813%2912-6-3-4-7%2810%298%2811%295-6%2Fh3-5H%2C2H2%2C1H3%2C%28H%2C12%2C13%29,7.0,-2.40400004386902,2.0,112.22509765625,,8.0,2.71953082084656,6.0,3.0,57.0,30.0,2.77999997138977,6.0,-1.64909994602203,0.0
InChI%3D1S%2FC7H6O2%2Fc8-5-6-3-1-2-4-7%286%299%2Fh1-5%2C9H,1.0,0.989000022411346,0.0,,,9.0,0.204575285315514,6.0,2.0,15.0,9.0,2.00999999046326,6.0,0.452300012111664,0.0
InChI%3D1S%2FC6H3Cl3%2Fc7-4-1-2-5%288%296%289%293-4%2Fh1-3H,5.0,2.0550000667572,2.0,100.481903076172,,6.0,0.0879715606570244,6.0,3.0,52.0,29.0,3.0,6.0,-0.296600013971329,0.0
InChI%3D1S%2FC6HCl3N2O4%2Fc7-2-1-3%288%296%2811%2814%2915%294%289%295%282%2910%2812%2913%2Fh1H,5.0,2.0550000667572,2.0,100.481903076172,,6.0,0.0879715606570244,6.0,3.0,52.0,29.0,3.0,6.0,-0.296600013971329,0.0
InChI%3D1S%2FC9H16O%2Fc1-5-9%284%2C10%297-6-8%282%293%2Fh1%2C8%2C10H%2C6-7H2%2C2-4H3,3.0,2.40899991989136,7.0,41.535701751709,1.0,2.0,2.38177490234375,0.0,10.0,26.0,9.0,2.33999991416931,0.0,1.54330003261566,0.0
InChI%3D1S%2FC6H3Br3O%2Fc7-3-1-4%288%296%2810%295%289%292-3%2Fh1-2%2C10H,0.0,2.99399995803833,0.0,55.1638984680176,,7.0,4.83296251296997,6.0,0.0,13.0,10.0,1.67999994754791,6.0,2.19840002059937,0.0
InChI%3D1S%2FC12H8BrNO%2Fc13-11-5-3-9%284-6-11%2912%2815%2910-2-1-7-14-8-10%2Fh1-8H,2.0,0.896000027656555,0.0,68.782096862793,,14.0,0.845848083496094,12.0,2.0,23.0,16.0,2.45000004768372,12.0,0.919700026512146,0.0
InChI%3D1S%2FC11H17O4PS2%2Fc1-4-13-16%2817%2C14-5-2%2915-10-6-8-11%289-7-10%2918%283%2912%2Fh6-9H%2C4-5H2%2C1-3H3,7.0,1.81099998950958,2.0,,,13.0,,6.0,9.0,35.0,18.0,1.89999997615814,6.0,1.59669995307922,0.0
InChI%3D1S%2FC7H6BrNO%2Fc8-6-3-1-2-5%284-6%297%289%2910%2Fh1-4H%2C%28H2%2C9%2C10%29,1.0,2.87299990653992,0.0,17.0755004882812,,9.0,0.651571810245514,6.0,2.0,16.0,10.0,1.89999997615814,6.0,0.807200014591217,0.0
InChI%3D1S%2F2C9H13N.H2O4S%2Fc2%2A1-8%2810%297-9-5-3-2-4-6-9%3B1-5%282%2C3%294%2Fh2%2A2-6%2C8H%2C7%2C10H2%2C1H3%3B%28H2%2C1%2C2%2C3%2C4%29,7.0,5.40000009536743,3.0,49.9654006958008,,6.0,0.098031610250473,12.0,4.0,100.0,49.0,4.98000001907349,12.0,-0.313100010156631,1.0
InChI%3D1S%2FC6H10O%2Fc1-3-5-6%287%294-2%2Fh3-4%2C6-7H%2C1-2%2C5H2,3.0,1.20299994945526,6.0,30.7087001800537,1.0,2.0,1.34536802768707,0.0,7.0,17.0,6.0,2.00999999046326,0.0,1.15989995002747,0.0
InChI%3D1S%2FC6H5ClO%2Fc7-5-3-1-2-4-6%285%298%2Fh1-4%2C8H,0.0,1.92900002002716,0.0,,,7.0,,6.0,0.0,13.0,8.0,1.89999997615814,6.0,,0.0
InChI%3D1S%2FC7H9N%2Fc8-6-7-4-2-1-3-5-7%2Fh1-5H%2C6%2C8H2,1.0,0.526000022888184,0.0,38.6699981689453,,6.0,0.220430254936218,6.0,2.0,17.0,8.0,2.11999988555908,6.0,0.469500005245209,0.0
InChI%3D1S%2FC9H9N%2Fc1-7-6-10-9-5-3-2-4-8%287%299%2Fh2-6%2C10H%2C1H3,0.0,2.67400002479553,0.0,5.50209999084473,1.0,7.0,0.412164002656937,6.0,0.0,18.0,11.0,2.33999991416931,10.0,0.642000019550323,0.0
InChI%3D1S%2FC8H10N4O2%2Fc1-10-4-9-6-5%2810%297%2813%2912%283%298%2814%2911%286%292%2Fh4H%2C1-3H3,0.0,-1.36300003528595,0.0,48.9063987731934,,6.0,0.758466839790344,0.0,0.0,28.0,15.0,1.67999994754791,0.0,-0.870899975299835,0.0
InChI%3D1S%2FC9H10O3%2Fc1-6%2810%298-4-3-7%2812-2%295-9%288%2911%2Fh3-5%2C11H%2C1-2H3,3.0,,2.0,,,22.0,,10.0,4.0,53.0,35.0,3.10999989509583,11.0,,0.0
InChI%3D1S%2FC2H5ClO%2Fc3-1-2-4%2Fh4H%2C1-2H2,1.0,0.266000002622604,2.0,17.6046009063721,1.0,0.0,0.0943718403577805,0.0,4.0,9.0,3.0,1.46000003814697,0.0,0.307200014591217,0.0
InChI%3D1S%2FC8H5Br5%2Fc1-2-3-4%289%296%2811%298%2813%297%2812%295%283%2910%2Fh2H2%2C1H3,1.0,5.22599983215332,2.0,77.7572021484375,,6.0,14.2747955322266,6.0,2.0,18.0,13.0,1.78999996185303,6.0,3.77819991111755,1.0
InChI%3D1S%2FC6H2Cl4O%2Fc7-2-1-3%288%296%2811%295%2810%294%282%299%2Fh1%2C11H,0.0,3.04299998283386,0.0,,,7.0,,6.0,0.0,13.0,11.0,1.57000005245209,6.0,2.3150999546051,0.0
InChI%3D1S%2FC18H36O%2Fc1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19%2Fh9-10%2C19H%2C2-8%2C11-18H2%2C1H3,15.0,8.30099964141846,18.0,,,2.0,,0.0,19.0,55.0,18.0,3.32999992370605,0.0,,2.0
InChI%3D1S%2FC8H6ClNO3%2Fc1-5%2811%296-2-3-7%289%298%284-6%2910%2812%2913%2Fh2-4H%2C1H3,2.0,,2.0,,,11.0,,6.0,3.0,19.0,13.0,1.78999996185303,6.0,,0.0
InChI%3D1S%2FC7H8FN%2Fc1-9-7-4-2-6%288%293-5-7%2Fh2-5%2C9H%2C1H3,1.0,0.902999997138977,0.0,,,7.0,,6.0,2.0,17.0,9.0,2.00999999046326,6.0,,0.0
InChI%3D1S%2FC12H8ClNO3%2Fc13-9-5-7-10%288-6-9%2917-12-4-2-1-3-11%2812%2914%2815%2916%2Fh1-8H,3.0,,0.0,,,16.0,,12.0,3.0,25.0,18.0,2.23000001907349,12.0,,0.0
InChI%3D1S%2FC16H14%2Fc1-3-9-15%2810-4-1%2913-7-8-14-16-11-5-2-6-12-16%2Fh1-14H,3.0,5.30600023269653,4.0,80.1085968017578,,16.0,11.230541229248,12.0,4.0,30.0,17.0,3.22000002861023,12.0,3.35120010375977,1.0
InChI%3D1S%2FC7H5ClO%2Fc8-7-3-1-6%285-9%292-4-7%2Fh1-5H,1.0,2.54299998283386,0.0,,,8.0,,6.0,2.0,14.0,9.0,2.00999999046326,6.0,0.551900029182434,0.0
InChI%3D1S%2FC12H19N%2Fc1-8%282%2910-6-5-7-11%289%283%294%2912%2810%2913%2Fh5-9H%2C13H2%2C1-4H3,2.0,4.35500001907349,3.0,,,7.0,,6.0,3.0,32.0,13.0,2.67000007629395,6.0,,0.0
InChI%3D1S%2FC10H18O%2Fc1-9%282%298-4-6-10%283%2C11-9%297-5-8%2Fh8H%2C4-7H2%2C1-3H3,5.0,1.01400005817413,2.0,108.546997070312,0.0,6.0,0.028934009373188,6.0,3.0,53.0,32.0,2.67000007629395,6.0,0.170100003480911,0.0
InChI%3D1S%2FC7H14N2O2S%2Fc1-7%282%2C12-4%295-9-11-6%2810%298-3%2Fh5H%2C1-4H3%2C%28H%2C8%2C10%29,4.0,2.24900007247925,2.0,93.0886001586914,1.0,15.0,0.00527076004073024,6.0,3.0,44.0,28.0,2.33999991416931,6.0,0.0725999996066093,0.0
InChI%3D1S%2FC12H15NO3%2Fc1-12%282%297-8-5-4-6-9%2810%288%2916-12%2915-11%2814%2913-3%2Fh4-6H%2C7H2%2C1-3H3%2C%28H%2C13%2C14%29,2.0,2.06800007820129,0.0,35.3858985900879,,11.0,0.992812931537628,6.0,5.0,31.0,17.0,2.33999991416931,6.0,1.31060004234314,0.0
InChI%3D1S%2FC13H13NO%2Fc14-12-7-4-8-13%289-12%2915-10-11-5-2-1-3-6-11%2Fh1-9H%2C10%2C14H2,3.0,1.65600001811981,0.0,,,8.0,0.680955052375793,12.0,2.0,28.0,16.0,2.67000007629395,12.0,0.825200021266937,0.0
InChI%3D1S%2FC6H2Cl4O2%2Fc7-1-2%288%294%2810%296%2812%295%2811%293%281%299%2Fh11-12H,0.0,3.39100003242493,0.0,53.0316009521484,,8.0,3.06950402259827,6.0,0.0,14.0,12.0,1.46000003814697,6.0,1.75199997425079,0.0
InChI%3D1S%2FC6H2F5N%2Fc7-1-2%288%294%2810%296%2812%295%2811%293%281%299%2Fh12H2,0.0,0.903999984264374,0.0,,,7.0,0.0596824884414673,6.0,0.0,14.0,12.0,1.46000003814697,6.0,-0.244299992918968,0.0
InChI%3D1S%2FC14H18O4%2Fc1-3-17-13%2815%2912%2814%2816%2918-4-2%2910-11-8-6-5-7-9-11%2Fh5-9%2C12H%2C3-4%2C10H2%2C1-2H3,3.0,2.83899998664856,0.0,72.2481994628906,,3.0,7.74341917037964,0.0,3.0,48.0,22.0,2.55999994277954,0.0,-2.7827000617981,0.0
InChI%3D1S%2FC15H10O2%2Fc16-13-10-15%2811-6-2-1-3-7-11%2917-14-9-5-4-8-12%2813%2914%2Fh1-10H,1.0,5.30000019073486,0.0,16.5363006591797,,17.0,0.253612965345383,12.0,0.0,27.0,19.0,2.89000010490417,12.0,-0.503600001335144,1.0
InChI%3D1S%2FC8H18S2%2Fc1-3-9-7-5-6-8-10-4-2%2Fh3-8H2%2C1-2H3,7.0,3.71399998664856,4.0,50.815601348877,0.0,0.0,1.77902245521545,0.0,10.0,28.0,9.0,2.11999988555908,0.0,1.33379995822906,0.0
InChI%3D1S%2FC14H14S2%2Fc1-11-3-7-13%288-4-11%2915-16-14-9-5-12%282%296-10-14%2Fh3-10H%2C1-2H3,7.0,2.69300007820129,3.0,85.5746994018555,,9.0,0.606062233448029,6.0,7.0,42.0,24.0,2.23000001907349,6.0,0.778500020503998,0.0
InChI%3D1S%2FC8H4F3N%2Fc9-8%2810%2C11%297-3-1-2-6%284-7%295-12%2Fh1-4H,1.0,1.54799997806549,0.0,41.1487998962402,,8.0,4.60102510452271,6.0,3.0,16.0,12.0,1.89999997615814,6.0,2.14499998092651,0.0
InChI%3D1S%2FC8H6Br4%2Fc9-7%2810%295-3-1-2-4-6%285%298%2811%2912%2Fh1-4%2C7-8H,13.0,4.03299999237061,6.0,139.38020324707,,8.0,0.685087263584137,12.0,13.0,71.0,34.0,3.76999998092651,12.0,0.827700018882751,1.0
InChI%3D1S%2FC7H7NO%2Fc1-6%289%297-2-4-8-5-3-7%2Fh2-5H%2C1H3,1.0,0.90200001001358,2.0,,,8.0,,6.0,3.0,16.0,9.0,2.00999999046326,6.0,,0.0
InChI%3D1S%2FC12H17NO2%2Fc1-12%282%2C3%299-5-7-10%288-6-9%2915-11%2814%2913-4%2Fh5-8H%2C1-4H3%2C%28H%2C13%2C14%29,3.0,3.13299989700317,0.0,,,10.0,,6.0,5.0,32.0,15.0,2.45000004768372,6.0,,0.0
InChI%3D1S%2FC11H15NO%2Fc1-11%282%2C3%299-6-4-8%285-7-9%2910%2812%2913%2Fh4-7H%2C1-3H3%2C%28H2%2C12%2C13%29,8.0,0.800000011920929,2.0,115.262802124023,,6.0,5.01177787780762,12.0,6.0,53.0,28.0,3.22000002861023,12.0,2.2386999130249,0.0
InChI%3D1S%2FC8H11N%2Fc1-3-8-5-4-7%282%299-6-8%2Fh4-6H%2C3H2%2C1-2H3,8.0,,4.0,,,13.0,,6.0,7.0,39.0,23.0,1.78999996185303,6.0,,0.0
InChI%3D1S%2FC4H9Br%2Fc1-2-3-4-5%2Fh2-4H2%2C1H3,3.0,2.57299995422363,0.0,25.0331993103027,0.0,21.0,0.141150489449501,18.0,3.0,35.0,25.0,2.89000010490417,18.0,0.375699996948242,0.0
InChI%3D1S%2FC12H21N2O3PS%2Fc1-6-15-18%2819%2C16-7-2%2917-11-8-10%285%2913-12%2814-11%299%283%294%2Fh8-9H%2C6-7H2%2C1-5H3,7.0,3.07500004768372,2.0,81.5680999755859,,11.0,4.06869220733643,6.0,9.0,40.0,19.0,2.00999999046326,6.0,2.0171000957489,0.0
InChI%3D1S%2FC7H5F4N%2Fc8-4-1-2-6%2812%295%283-4%297%289%2C10%2911%2Fh1-3H%2C12H2,2.0,1.64900004863739,0.0,,,6.0,,6.0,0.0,34.0,21.0,2.67000007629395,6.0,,0.0
InChI%3D1S%2FC6H5ClO%2Fc7-5-1-3-6%288%294-2-5%2Fh1-4%2C8H,7.0,2.80299997329712,3.0,148.175994873047,,19.0,5.28953981399536,22.0,6.0,64.0,38.0,4.09999990463257,23.0,2.29990005493164,0.0
InChI%3D1S%2FC8H14O%2Fc1-3-5-6-7-8%289%294-2%2Fh2%2C8-9H%2C3%2C5-7H2%2C1H3,4.0,2.35999989509583,8.0,31.2717990875244,1.0,2.0,0.716562271118164,0.0,9.0,23.0,8.0,2.23000001907349,0.0,-0.846499979496002,0.0
InChI%3D1S%2FC5H10Cl2%2Fc6-4-2-1-3-5-7%2Fh1-5H2,4.0,2.81399989128113,5.0,29.3903999328613,0.0,0.0,0.419644832611084,0.0,7.0,17.0,6.0,1.78999996185303,0.0,0.647800028324127,0.0
InChI%3D1S%2FC7H4ClNO3%2Fc8-7-2-1-6%289%2811%2912%293-5%287%294-10%2Fh1-4H,2.0,,0.0,,,11.0,,6.0,2.0,16.0,12.0,1.67999994754791,6.0,,0.0
